question,entity,time,answer
Where was Prasanta Chandra Mahalanobis educated right after January 1912?,Prasanta Chandra Mahalanobis,1912-01,King's College
Who was the chair of People's Party of the Basque Country right after January 2013?,People's Party of the Basque Country,2013-01,Arantza Quiroga
Who was the chair of People's Party of the Basque Country right after January 2020?,People's Party of the Basque Country,2020-01,Carlos José Iturgaiz Angulo
Who was the chair of Union for a Popular Movement right after July 2004?,Union for a Popular Movement,2004-07,Jean-François Copé
Which position did Stanislav Gross hold right after December 1992?,Stanislav Gross,1992-12,chairperson
Which position did Stanislav Gross hold right after April 2000?,Stanislav Gross,2000-04,Minister of the Interior of the Czech Republic
Which political party did Kyriakos Velopoulos belong to right after January 2015?,Kyriakos Velopoulos,2015-01,Greek Solution
Who was the head coach of the team FC Sheriff Tiraspol right after June 2022?,FC Sheriff Tiraspol,2022-06,Stjepan Tomas
Who was the chair of Technical University of Munich right after January 1995?,Technical University of Munich,1995-01,Wolfgang A. Herrmann
Where was Mikhail Vassilyevich Lomonosov educated right after January 1734?,Mikhail Vassilyevich Lomonosov,1734-01,Kyiv-Mohyla Academy
Who was the owner of The Little Street right after January 1847?,The Little Street,1847-01,Jan Pieter Six VI
Who was the owner of The Little Street right after January 1899?,The Little Street,1899-01,Pieter Hendrik Six van Vromade
Who was the head of Russia right after June 1992?,Russia,1992-06,Yegor Gaidar
Who was the head of Russia right after December 1992?,Russia,1992-12,Sergey Kiriyenko
Who was the head of Russia right after August 1998?,Russia,1998-08,Viktor Chernomyrdin
Who was the head of Russia right after September 1998?,Russia,1998-09,Yevgeny Primakov
Who was the head of Russia right after May 1999?,Russia,1999-05,Sergei Stepashin
Who was the head of Russia right after August 1999?,Russia,1999-08,Mikhail Kasyanov
Who was the head of Russia right after February 2004?,Russia,2004-02,Viktor Khristenko
Who was the head of Russia right after September 2007?,Russia,2007-09,Vladimir Putin
Who was the head of Russia right after May 2012?,Russia,2012-05,Viktor Zubkov
Who was the head of Russia right after January 2020?,Russia,2020-01,Mikhail Mishustin
Which employer did Philip Franklin work for right after January 1919?,Philip Franklin,1919-01,Princeton University
Which employer did Philip Franklin work for right after January 1922?,Philip Franklin,1922-01,Harvard University
Which team did Jules Reimerink play for right after January 2009?,Jules Reimerink,2009-01,FC Twente
Which team did Jules Reimerink play for right after January 2010?,Jules Reimerink,2010-01,FC Energie Cottbus
Which team did Jules Reimerink play for right after January 2014?,Jules Reimerink,2014-01,Go Ahead Eagles
Which position did Lord Douglas Gordon-Hallyburton hold right after December 1834?,Lord Douglas Gordon-Hallyburton,1834-12,Member of the 12th Parliament of the United Kingdom
Which position did Lord Douglas Gordon-Hallyburton hold right after July 1837?,Lord Douglas Gordon-Hallyburton,1837-07,Member of the 13th Parliament of the United Kingdom
Which employer did Moxie Marlinspike work for right after January 2011?,Moxie Marlinspike,2011-01,"Twitter, Inc."
Which employer did Moxie Marlinspike work for right after January 2013?,Moxie Marlinspike,2013-01,Open Whisper Systems
Which employer did Moxie Marlinspike work for right after January 2018?,Moxie Marlinspike,2018-01,Signal Messenger
Which team did João Carlos Rocha Vicente play for right after January 2006?,João Carlos Rocha Vicente,2006-01,Imortal DC
Which team did João Carlos Rocha Vicente play for right after January 2013?,João Carlos Rocha Vicente,2013-01,C.D. Tondela
Which team did João Carlos Rocha Vicente play for right after January 2015?,João Carlos Rocha Vicente,2015-01,U.D. Leiria
Who was the head of Romania right after June 1862?,Romania,1862-06,Mihail Kogălniceanu
Who was the head of Romania right after January 1865?,Romania,1865-01,Constantin Bosianu
Who was the head of Romania right after January 1870?,Romania,1870-01,Alexandru G. Golescu
Who was the head of Romania right after March 1871?,Romania,1871-03,Manolache Costache Epureanu
Who was the head of Romania right after August 1876?,Romania,1876-08,Dimitrie Brătianu
Who was the head of Romania right after March 1888?,Ion C. Brătianu,1888-03,Theodor Rosetti
Who was the head of Romania right after March 1889?,Romania,1889-03,Ion Emanuel Florescu
Who was the head of Romania right after October 1895?,Romania,1895-10,Petre S. Aurelian
Who was the head of Romania right after April 1899?,Romania,1899-04,Take Ionescu
Who was the head of Romania right after January 1922?,Romania,1922-01,Nicolae Iorga
Who was the head of Romania right after June 1932?,Romania,1932-06,Ion G. Duca
Who was the head of Romania right after December 1937?,Romania,1937-12,Octavian Goga
Who was the head of Romania right after March 1939?,Romania,1939-03,Armand Călinescu
Who was the head of Romania right after September 1939?,Romania,1939-09,Constantin Argetoianu
Who was the head of Romania right after September 1940?,Romania,1940-09,Constantin Sănătescu
Who was the head of Romania right after June 1952?,Romania,1952-06,Gheorghe Gheorghiu-Dej
Who was the head of Romania right after March 1961?,Romania,1961-03,Ion Gheorghe Maurer
Who was the head of Romania right after March 1979?,Romania,1979-03,Ilie Verdeț
Who was the head of Romania right after May 1982?,Romania,1982-05,Constantin Dăscălescu
Who was the head of Romania right after December 1996?,Romania,1996-12,Victor Ciorbea
Who was the head of Romania right after April 1998?,Romania,1998-04,Radu Vasile
Who was the head of Romania right after December 1999?,Romania,1999-12,Mugur Isărescu
Who was the head of Romania right after December 2000?,Romania,2000-12,Adrian Năstase
Who was the head of Romania right after December 2004?,Romania,2004-12,Călin Popescu-Tăriceanu
Who was the head of Romania right after February 2012?,Romania,2012-02,Mihai Răzvan Ungureanu
Who was the head of Romania right after May 2012?,Romania,2012-05,Victor Ponta
Who was the head of Romania right after November 2015?,Romania,2015-11,Dacian Cioloș
Who was the head of Romania right after January 2017?,Romania,2017-01,Sorin Grindeanu
Who was the head of Romania right after December 2020?,Romania,2020-12,Florin Cîțu
Which political party did Valentina Tereshkova belong to right after January 1991?,Valentina Tereshkova,1991-01,Our Home – Russia
Which political party did Valentina Tereshkova belong to right after January 2003?,Valentina Tereshkova,2003-01,Russian Party of Life
Which political party did Valentina Tereshkova belong to right after January 2008?,Valentina Tereshkova,2008-01,United Russia
Which team did Raúl Servín play for right after January 1990?,Raúl Servín,1990-01,Atlas F.C.
Which team did Raúl Servín play for right after January 1992?,Raúl Servín,1992-01,Real Madrid Fc
Who was the head of Esch-sur-Alzette right after January 1830?,Esch-sur-Alzette,1830-01,François-Joseph Hoferlin
Who was the head of Esch-sur-Alzette right after January 1841?,Esch-sur-Alzette,1841-01,Dominique Stoffel
Who was the head of Esch-sur-Alzette right after January 1843?,Esch-sur-Alzette,1843-01,Jacques Schmit
Who was the head of Esch-sur-Alzette right after January 1861?,Esch-sur-Alzette,1861-01,Pierre Claude
Who was the head of Esch-sur-Alzette right after January 1878?,Esch-sur-Alzette,1878-01,Dominique-Joseph Hoferlin
Who was the head of Esch-sur-Alzette right after January 1909?,Esch-sur-Alzette,1909-01,Armand Spoo
Who was the head of Esch-sur-Alzette right after January 1911?,Esch-sur-Alzette,1911-01,Jean-Pierre Michels
Who was the head of Esch-sur-Alzette right after January 1920?,Esch-sur-Alzette,1920-01,Victor Wilhelm
Who was the head of Esch-sur-Alzette right after January 1942?,Esch-sur-Alzette,1942-01,Theodor Feldhege
Who was the head of Esch-sur-Alzette right after January 1943?,Esch-sur-Alzette,1943-01,Josef Kohns
Who was the head of Esch-sur-Alzette right after January 1944?,Esch-sur-Alzette,1944-01,Hubert Clément
Who was the head of Esch-sur-Alzette right after January 1945?,Esch-sur-Alzette,1945-01,Antoine Krier
Who was the head of Esch-sur-Alzette right after January 1965?,Esch-sur-Alzette,1965-01,Jules Schreiner
Who was the head of Esch-sur-Alzette right after January 1969?,Esch-sur-Alzette,1969-01,Arthur Useldinger
Who was the head of Esch-sur-Alzette right after January 2000?,Esch-sur-Alzette,2000-01,Lydia Mutsch
Which employer did Ellen Muehlberger work for right after May 2008?,Ellen Muehlberger,2008-05,DePauw University
Which position did Edgar Rees Jones hold right after November 1918?,Edgar Rees Jones,1918-11,Member of the 31st Parliament of the United Kingdom
Which team did Carlos Alberto Etcheverry play for right after January 1955?,Carlos Alberto Etcheverry,1955-01,Chacarita Juniors
Which team did Carlos Alberto Etcheverry play for right after January 1957?,Carlos Alberto Etcheverry,1957-01,Club León
Which team did Carlos Alberto Etcheverry play for right after January 1962?,Carlos Alberto Etcheverry,1962-01,Club Universidad Nacional
Which position did William Taylor Copeland hold right after January 1829?,William Taylor Copeland,1829-01,Member of the 10th Parliament of the United Kingdom
Which position did William Taylor Copeland hold right after December 1832?,William Taylor Copeland,1832-12,Member of the 11th Parliament of the United Kingdom
Which position did William Taylor Copeland hold right after July 1837?,William Taylor Copeland,1837-07,Member of the 13th Parliament of the United Kingdom
Which position did William Taylor Copeland hold right after June 1841?,William Taylor Copeland,1841-06,Member of the 14th Parliament of the United Kingdom
Which position did William Taylor Copeland hold right after July 1847?,William Taylor Copeland,1847-07,Member of the 15th Parliament of the United Kingdom
Which position did William Taylor Copeland hold right after April 1859?,William Taylor Copeland,1859-04,Member of the 18th Parliament of the United Kingdom
Which employer did John George Adami work for right after January 1892?,John George Adami,1892-01,McGill University
Which political party did Kōichirō Genba belong to right after January 1993?,Kōichirō Genba,1993-01,independent politician
Which political party did Kōichirō Genba belong to right after September 1996?,Kōichirō Genba,1996-09,Democratic Party of Japan
Which political party did Kōichirō Genba belong to right after January 2015?,Kōichirō Genba,2015-01,Democratic Party
Which political party did Kōichirō Genba belong to right after April 2018?,Kōichirō Genba,2018-04,Group of Independents
Which political party did Kōichirō Genba belong to right after January 2019?,Kōichirō Genba,2019-01,Reviewing Group on Social Security Policy
Which political party did Kōichirō Genba belong to right after September 2020?,Kōichirō Genba,2020-09,Constitutional Democratic Party of Japan
"Who was the chair of Embassy of Ukraine, Moscow right after January 1994?","Embassy of Ukraine, Moscow",1994-01,Volodymyr Fedorov
"Who was the chair of Embassy of Ukraine, Moscow right after April 2008?","Embassy of Ukraine, Moscow",2008-04,Kostyantyn Gryshchenko
Which team did Roger Moret play for right after December 1976?,Roger Moret,1976-12,Texas Rangers
Which team did Michele Cossato play for right after January 1991?,Michele Cossato,1991-01,Venezia F.C.
Which team did Michele Cossato play for right after January 1998?,Michele Cossato,1998-01,Atalanta B.C.
Which team did Michele Cossato play for right after January 2000?,Michele Cossato,2000-01,Hellas Verona F.C.
Which team did Michele Cossato play for right after January 2003?,Michele Cossato,2003-01,ACF Fiorentina
Which employer did Julian A. Dowdeswell work for right after January 1989?,Julian A. Dowdeswell,1989-01,Scott Polar Research Institute
Which employer did Julian A. Dowdeswell work for right after January 1994?,Julian A. Dowdeswell,1994-01,University of Bristol
Who was the head of Petriș right after October 2020?,Petriș,2020-10,Ionel Gheorghe Berari
Who was the owner of North Stafford Hotel right after January 1947?,North Stafford Hotel,1947-01,British Rail
Who was the owner of North Stafford Hotel right after January 1953?,North Stafford Hotel,1953-01,Britannia Hotels
"Which position did St John Brodrick, 1st Earl of Midleton hold right after November 1885?","St John Brodrick, 1st Earl of Midleton",1885-11,Member of the 23rd Parliament of the United Kingdom
"Which position did St John Brodrick, 1st Earl of Midleton hold right after June 1892?","St John Brodrick, 1st Earl of Midleton",1892-06,Member of the 25th Parliament of the United Kingdom
"Which position did St John Brodrick, 1st Earl of Midleton hold right after July 1895?","St John Brodrick, 1st Earl of Midleton",1895-07,Member of the 26th Parliament of the United Kingdom
Which team did Mathias Kouo-Doumbé play for right after January 2004?,Mathias Kouo-Doumbé,2004-01,Plymouth Argyle F.C.
Which team did Mathias Kouo-Doumbé play for right after January 2013?,Mathias Kouo-Doumbé,2013-01,Northampton Town F.C.
Which team did Omonigho Temile play for right after January 2004?,Omonigho Temile,2004-01,FC Krylia Sovetov Samara
Which team did Omonigho Temile play for right after January 2006?,Omonigho Temile,2006-01,Botev Plovdiv
Which team did Omonigho Temile play for right after January 2010?,Omonigho Temile,2010-01,Valletta F.C.
Which team did Cinzio Scagliotti play for right after January 1937?,Cinzio Scagliotti,1937-01,Associazione Calcio Milan
Which team did Cinzio Scagliotti play for right after January 1940?,Cinzio Scagliotti,1940-01,U.S. Salernitana 1919
Which team did Cinzio Scagliotti play for right after January 1941?,Cinzio Scagliotti,1941-01,A.S.D. Battipagliese
Which team did Olivier Quint play for right after January 1996?,Olivier Quint,1996-01,CS Sedan Ardennes
Which political party did Endre Bajcsy-Zsilinszky belong to right after January 1928?,Endre Bajcsy-Zsilinszky,1928-01,National Radical Party
Which team did Mauricio Wright play for right after March 1999?,Mauricio Wright,1999-03,San Jose Earthquakes
Which team did Mauricio Wright play for right after May 2000?,Mauricio Wright,2000-05,New England Revolution
Which team did Mauricio Wright play for right after December 2001?,Mauricio Wright,2001-12,A.E.K. Athens F.C.
Which team did Mauricio Wright play for right after August 2003?,Mauricio Wright,2003-08,Guangzhou City F.C.
Which team did Mauricio Wright play for right after June 2006?,Mauricio Wright,2006-06,Deportivo Saprissa
Who was the chair of European Film Academy right after January 1996?,European Film Academy,1996-01,Wim Wenders
Which employer did Aleksander Eelmaa work for right after January 1990?,Aleksander Eelmaa,1990-01,Tallinn City Theatre
Which employer did Aleksander Eelmaa work for right after January 2014?,Aleksander Eelmaa,2014-01,Estonian Drama Theatre
Where was Szolem Mandelbrojt educated right after January 1919?,Szolem Mandelbrojt,1919-01,National University of Kharkiv
Where was Szolem Mandelbrojt educated right after January 1920?,Szolem Mandelbrojt,1920-01,Paris-Sorbonne University - Paris IV
Which employer did Gheorghe Vrănceanu work for right after January 1927?,Gheorghe Vrănceanu,1927-01,Chernivtsi University
Which employer did Gheorghe Vrănceanu work for right after January 1939?,Gheorghe Vrănceanu,1939-01,University of Bucharest
Which team did Neil Redfearn play for right after January 1984?,Neil Redfearn,1984-01,Lincoln City F.C.
Which team did Neil Redfearn play for right after January 1986?,Neil Redfearn,1986-01,Doncaster Rovers F.C.
Which team did Neil Redfearn play for right after January 1989?,Neil Redfearn,1989-01,Watford F.C.
Which team did Neil Redfearn play for right after January 1998?,Neil Redfearn,1998-01,Charlton Athletic F.C.
Which team did Neil Redfearn play for right after January 1999?,Neil Redfearn,1999-01,Bradford City A.F.C.
Which team did Neil Redfearn play for right after January 2000?,Neil Redfearn,2000-01,Wigan Athletic F.C.
Which team did Neil Redfearn play for right after January 2002?,Neil Redfearn,2002-01,Boston United F.C.
Which political party did Ella Reeve Bloor belong to right after January 1898?,Ella Reeve Bloor,1898-01,Socialist Labor Party of America
Who was the head coach of the team TSC Bačka Topola right after October 2021?,TSC Bačka Topola,2021-10,Žarko Lazetić
Which team did Florian Metz play for right after January 2006?,Florian Metz,2006-01,L.A.S.K. Linz
Which team did Florian Metz play for right after January 2012?,Florian Metz,2012-01,FC Liefering
Which team did Florian Metz play for right after January 2013?,Florian Metz,2013-01,SC Zwettl
Which team did Stojan Vranješ play for right after January 2014?,Stojan Vranješ,2014-01,Lechia Gdańsk
Who was the head of Vienna right after March 1910?,Vienna,1910-03,Josef Neumayer
Who was the head of Vienna right after May 1919?,Vienna,1919-05,Jakob Reumann
Who was the head of Vienna right after November 1923?,Vienna,1923-11,Karl Seitz
Who was the head of Vienna right after February 1934?,Vienna,1934-02,Richard Schmitz
Who was the head of Vienna right after December 1943?,Vienna,1943-12,Hanns Blaschke
Who was the head of Vienna right after June 1951?,Vienna,1951-06,Franz Jonas
Who was the head of Vienna right after December 1970?,Vienna,1970-12,Felix Slavik
Who was the head of Vienna right after September 1984?,Vienna,1984-09,Helmut Zilk
Who was the head of Vienna right after November 1994?,Vienna,1994-11,Michael Häupl
Who was the head of Poland right after January 1991?,Poland,1991-01,Jan Krzysztof Bielecki
Who was the head of Poland right after June 1992?,Poland,1992-06,Hanna Suchocka
Who was the head of Poland right after October 1997?,Poland,1997-10,Jerzy Buzek
Who was the head of Poland right after May 2004?,Poland,2004-05,Marek Belka
Who was the head of Poland right after November 2007?,Poland,2007-11,Donald Tusk
Who was the head of Poland right after November 2015?,Poland,2015-11,Beata Szydło
Which position did Pedro Alejandrino del Solar hold right after January 1889?,Pedro Alejandrino del Solar,1889-01,President of the Council of Ministers of Peru
Which team did Ludwig Janda play for right after January 1938?,Ludwig Janda,1938-01,Luftwaffen-SV Hamburg
Which team did Ludwig Janda play for right after January 1944?,Ludwig Janda,1944-01,TSV 1860 München
Which team did Ludwig Janda play for right after January 1951?,Ludwig Janda,1951-01,Novara Calcio
Which position did Alexander McArthur hold right after March 1880?,Alexander McArthur,1880-03,Member of the 22nd Parliament of the United Kingdom
Which position did Alexander McArthur hold right after June 1886?,Alexander McArthur,1886-06,Member of the 24th Parliament of the United Kingdom
Who was the head of Prats de Lluçanès right after January 2003?,Prats de Lluçanès,2003-01,Ramon Besora i Torradeflot
Who was the head of Prats de Lluçanès right after January 2007?,Prats de Lluçanès,2007-01,Lluís Vila i Vilalta
Who was the head coach of the team Aris Thessaloniki F.C. right after January 2017?,Aris Thessaloniki F.C.,2017-01,Paco Herrera
Who was the head coach of the team Aris Thessaloniki F.C. right after November 2018?,Aris Thessaloniki F.C.,2018-11,Savvas Pantelidis
Who was the head coach of the team Aris Thessaloniki F.C. right after September 2019?,Aris Thessaloniki F.C.,2019-09,Michael Oenning
Who was the head coach of the team Aris Thessaloniki F.C. right after September 2020?,Aris Thessaloniki F.C.,2020-09,Apostolos Mantzios
Who was the head coach of the team Aris Thessaloniki F.C. right after February 2022?,Aris Thessaloniki F.C.,2022-02,Germán Burgos
Which team did Ronan McCormack play for right after January 2005?,Ronan McCormack,2005-01,Leinster Rugby
Which position did Claudio Martini hold right after April 2010?,Claudio Martini,2010-04,member of the Italian Senate
Which employer did Clive Ballard work for right after January 1995?,Clive Ballard,1995-01,Newcastle University
Which employer did Clive Ballard work for right after January 2003?,Clive Ballard,2003-01,King's College London
Which team did Steve Butler play for right after January 1986?,Steve Butler,1986-01,Maidstone United F.C.
Which team did Steve Butler play for right after January 1991?,Steve Butler,1991-01,Watford F.C.
Which team did Steve Butler play for right after January 1995?,Steve Butler,1995-01,Peterborough United F.C.
Which employer did Herman Goldstine work for right after January 1939?,Herman Goldstine,1939-01,University of Michigan
Which employer did Herman Goldstine work for right after January 1941?,Herman Goldstine,1941-01,United States Army
Which employer did Herman Goldstine work for right after January 1973?,Herman Goldstine,1973-01,Institute for Advanced Study
Which team did Malemngamba Meetei play for right after January 2012?,Malemngamba Meetei,2012-01,Salgaocar F.C.
Who was the head of Hon-Hergies right after January 2000?,Hon-Hergies,2000-01,Muriel Rzeszutek
Who was the head of Hon-Hergies right after March 2014?,Hon-Hergies,2014-03,Luc Bertaux
Who was the head coach of the team Stade Malherbe Caen right after March 2021?,Stade Malherbe Caen,2021-03,Stéphane Moulin
Who was the head of Budapest District XI right after January 2010?,Budapest District XI,2010-01,Tamás Hoffmann
Which employer did Gaetano Scorza work for right after January 1899?,Gaetano Scorza,1899-01,University of Turin
Which employer did Gaetano Scorza work for right after January 1913?,Gaetano Scorza,1913-01,University of Parma
Which employer did Gaetano Scorza work for right after January 1916?,Gaetano Scorza,1916-01,University of Catania
Which employer did Gaetano Scorza work for right after January 1935?,Gaetano Scorza,1935-01,Sapienza University of Rome
Which position did James Christopher Flynn hold right after June 1886?,James Christopher Flynn,1886-06,Member of the 24th Parliament of the United Kingdom
Which position did James Christopher Flynn hold right after June 1892?,James Christopher Flynn,1892-06,Member of the 25th Parliament of the United Kingdom
Which position did James Christopher Flynn hold right after July 1895?,James Christopher Flynn,1895-07,Member of the 26th Parliament of the United Kingdom
Which position did James Christopher Flynn hold right after September 1900?,James Christopher Flynn,1900-09,Member of the 27th Parliament of the United Kingdom
Which team did Pietro Carmignani play for right after January 1967?,Pietro Carmignani,1967-01,Varese Calcio
Which team did Pietro Carmignani play for right after January 1971?,Pietro Carmignani,1971-01,Juventus FC
Which team did Pietro Carmignani play for right after January 1972?,Pietro Carmignani,1972-01,S.S.C. Napoli
Which team did Pietro Carmignani play for right after January 1977?,Pietro Carmignani,1977-01,ACF Fiorentina
Which team did Pietro Carmignani play for right after January 1979?,Pietro Carmignani,1979-01,Football Club Rhodense
Where was Erwin Finlay-Freundlich educated right after January 1904?,Erwin Finlay-Freundlich,1904-01,Leipzig University
Where was Erwin Finlay-Freundlich educated right after January 1906?,Erwin Finlay-Freundlich,1906-01,University of Göttingen
Which team did Alexander Farnerud play for right after January 2001?,Alexander Farnerud,2001-01,Sweden national under-19 football team
Which team did Alexander Farnerud play for right after January 2002?,Alexander Farnerud,2002-01,Landskrona BoIS
Which team did Alexander Farnerud play for right after January 2006?,Alexander Farnerud,2006-01,VfB Stuttgart II
Which team did Alexander Farnerud play for right after January 2008?,Alexander Farnerud,2008-01,Brøndby IF
Which team did Alexander Farnerud play for right after January 2013?,Alexander Farnerud,2013-01,Torino F.C.
Who was the head of Hasnon right after May 1925?,Hasnon,1925-05,Louis Louis
Who was the head of Hasnon right after May 1935?,Hasnon,1935-05,Désiré Grudenaire
Who was the head of Hasnon right after March 1959?,Hasnon,1959-03,Jean-Marie Ballé
Who was the head of Hasnon right after March 1977?,Hasnon,1977-03,Jean Delœil
Who was the head of Hasnon right after July 1991?,Hasnon,1991-07,Yannick Nison
Who was the head of Hasnon right after May 2020?,Hasnon,2020-05,André Desmedt
Where was Dirk Jan Struik educated right after January 1925?,Dirk Jan Struik,1925-01,University of Göttingen
Who was the chair of United States Commission of Fine Arts right after January 1915?,United States Commission of Fine Arts,1915-01,Gilmore David Clarke
Who was the chair of United States Commission of Fine Arts right after January 1963?,United States Commission of Fine Arts,1963-01,Harry G. Robinson III
Which team did Juan José Muñante play for right after January 1976?,Juan José Muñante,1976-01,Club Universidad Nacional
Which team did Juan José Muñante play for right after January 1980?,Juan José Muñante,1980-01,Tampico Madero
Which team did Pablo Edson Barrera Acosta play for right after January 2012?,Pablo Edson Barrera Acosta,2012-01,Real Madrid Fc
Which team did Pablo Edson Barrera Acosta play for right after January 2014?,Pablo Edson Barrera Acosta,2014-01,Club de Fútbol Monterrey
Where was Jiang Zemin educated right after January 1937?,Jiang Zemin,1937-01,Yangzhou High School of Jiangxi Province
Where was Jiang Zemin educated right after January 1945?,Jiang Zemin,1945-01,Chiao Tung University
"Which position did Sir Charles Burrell, 3rd Baronet hold right after April 1807?","Sir Charles Burrell, 3rd Baronet",1807-04,Member of the 4th Parliament of the United Kingdom
"Which position did Sir Charles Burrell, 3rd Baronet hold right after September 1812?","Sir Charles Burrell, 3rd Baronet",1812-09,Member of the 5th Parliament of the United Kingdom
"Which position did Sir Charles Burrell, 3rd Baronet hold right after June 1818?","Sir Charles Burrell, 3rd Baronet",1818-06,Member of the 6th Parliament of the United Kingdom
"Which position did Sir Charles Burrell, 3rd Baronet hold right after July 1830?","Sir Charles Burrell, 3rd Baronet",1830-07,Member of the 9th Parliament of the United Kingdom
"Which position did Sir Charles Burrell, 3rd Baronet hold right after April 1831?","Sir Charles Burrell, 3rd Baronet",1831-04,Member of the 10th Parliament of the United Kingdom
"Which position did Sir Charles Burrell, 3rd Baronet hold right after December 1834?","Sir Charles Burrell, 3rd Baronet",1834-12,Member of the 12th Parliament of the United Kingdom
"Which position did Sir Charles Burrell, 3rd Baronet hold right after July 1847?","Sir Charles Burrell, 3rd Baronet",1847-07,Member of the 15th Parliament of the United Kingdom
"Which position did Sir Charles Burrell, 3rd Baronet hold right after July 1852?","Sir Charles Burrell, 3rd Baronet",1852-07,Member of the 16th Parliament of the United Kingdom
"Which position did Sir Charles Burrell, 3rd Baronet hold right after April 1859?","Sir Charles Burrell, 3rd Baronet",1859-04,Member of the 18th Parliament of the United Kingdom
Who was the head of Taitung County right after December 2009?,Taitung County,2009-12,Justin Huang
Who was the head of Taitung County right after December 2018?,Taitung County,2018-12,Rao Ching-ling
Which position did William Leader Maberly hold right after December 1832?,William Leader Maberly,1832-12,Member of the 11th Parliament of the United Kingdom
Which employer did Laurens Perseus Hickok work for right after January 1844?,Laurens Perseus Hickok,1844-01,Auburn Theological Seminary
Which employer did Laurens Perseus Hickok work for right after January 1868?,Laurens Perseus Hickok,1868-01,Amherst College
Who was the head of Plzeň right after January 1990?,Plzeň,1990-01,Stanislav Loukota
Who was the head of Plzeň right after December 1990?,Plzeň,1990-12,Zdeněk Mraček
Who was the head of Plzeň right after January 1998?,Plzeň,1998-01,Jiří Šneberger
Who was the head of Plzeň right after January 2004?,Plzeň,2004-01,Miroslav Kalous
Which employer did Orm Finnendahl work for right after January 2004?,Orm Finnendahl,2004-01,Hochschule für Musik Freiburg
Which employer did Orm Finnendahl work for right after January 2013?,Orm Finnendahl,2013-01,Frankfurt University of Music and Performing Arts
Which employer did Deborah Sugg Ryan work for right after January 2004?,Deborah Sugg Ryan,2004-01,Falmouth University
Which employer did Deborah Sugg Ryan work for right after August 2016?,Deborah Sugg Ryan,2016-08,University of Portsmouth
Which employer did Derman Christopherson work for right after January 1955?,Derman Christopherson,1955-01,Imperial College London
Who was the head of Skælskør Municipality right after January 1974?,Skælskør Municipality,1974-01,Johannes Lyshjelm
Who was the head of Skælskør Municipality right after January 1986?,Skælskør Municipality,1986-01,Søren Clausen
Who was the head of Skælskør Municipality right after January 1994?,Skælskør Municipality,1994-01,Hans Christian Nielsen
Where was Władysław Orlicz educated right after January 1921?,Władysław Orlicz,1921-01,Lviv University
Where was Władysław Orlicz educated right after January 1926?,Władysław Orlicz,1926-01,University of Göttingen
Which team did Alessandro Armenise play for right after January 2003?,Alessandro Armenise,2003-01,S.S. Teramo Calcio
Which team did Alessandro Armenise play for right after January 2006?,Alessandro Armenise,2006-01,A.S.D. Fidelis Andria 1928
Which team did Alessandro Armenise play for right after January 2007?,Alessandro Armenise,2007-01,A.S. Martina Franca 1947
Which team did Alessandro Armenise play for right after January 2011?,Alessandro Armenise,2011-01,F.C. Pro Vercelli 1892
Who was the chair of Communist Party of the Soviet Union right after October 1964?,Communist Party of the Soviet Union,1964-10,Leonid Brezhnev
Who was the chair of Communist Party of the Soviet Union right after August 1991?,Communist Party of the Soviet Union,1991-08,Volodymyr Ivashko
