question,entity,event,answer
Which album did American band LP release right before album Minutes to Midnight?,American band LP,album Minutes to Midnight,Meteora
Which album was announced by LP just previous to Minutes to Midnight?,LP,Minutes to Midnight,Meteora
Which album did Linkin Park release immediately before the album Living Things?,Linkin Park,the album Living Things,A thousand Suns
Which album did American band LP release right before album Living Things?,American band LP,album Living Things,A thousand Suns
Which album did American band LP release right before album One More Light?,American band LP,album One More Light,The Hunting Party
Which album did Linkin Park propagate just before One More Light?,Linkin Park,One More Light,The Hunting Party
Which album was released by Linkin Park just before One More Light?,Linkin Park,One More Light,The Hunting Party
Which album did Linkin Park release immediately before the album One More Light?,Linkin Park,the album One More Light,The Hunting Party
Which album was launched by LP band immediately prior to Living Things?,LP band,Living Things,A thousand Suns
Which album did Linkin Park propagate just before Living Things?,Linkin Park,Living Things,A thousand Suns
Which album was launched by LP band immediately prior to A thousand Suns?,LP band,A thousand Suns,Minutes to Midnight
Which album did Linkin Park propagate just before A thousand Suns?,Linkin Park,A thousand Suns,Minutes to Midnight
Which album did Linkin Park release immediately before the album A thousand Suns?,Linkin Park,the album A thousand Suns,Minutes to Midnight
Which album was launched by LP band immediately prior to A thousand Suns?,LP band,A thousand Suns,Minutes to Midnight
Which album did Linkin Park propagate just before Minutes to Midnight?,Linkin Park,Minutes to Midnight,Meteora
Which album was announced by LP just previous to Minutes to Midnight?,LP,Minutes to Midnight,Meteora
Which album was launched by LP band immediately prior to The Hunting Party?,LP band,The Hunting Party,Living Things
Which album did Linkin Park propagate just before The Hunting Party?,Linkin Park,The Hunting Party,Living Things
Which album was launched by Linkin Park preceded by Living Things?,Linkin Park,Living Things,The Hunting Party
Which album was launched by Linkin Park preceded by The Hunting Party?,Linkin Park,The Hunting Party,One More Light
Which album was launched by Linkin Park preceded by Meteora?,Linkin Park,Meteora,Minutes to Midnight
Which album was announced by LP just previous to A thousand Suns?,LP,A thousand Suns,Minutes to Midnight
Which album did Linkin Park release immediately before the album A thousand Suns?,Linkin Park,the album A thousand Suns,Minutes to Midnight
Which album did Linkin Park disclose right before the success of the album A thousand Suns?,Linkin Park,the success of the album A thousand Suns,Minutes to Midnight
Which album was released by Linkin Park just before The Hunting Party?,Linkin Park,The Hunting Party,Living Things
Which album did Linkin Park propagate just before The Hunting Party?,Linkin Park,The Hunting Party,Living Things
Which album did American band LP release right before album One More Light?,American band LP,album One More Light,The Hunting Party
Which album did American band LP release right before album Meteora?,American band LP,album Meteora,Hybrid Theory
Which album was announced by LP just previous to Meteora?,LP,Meteora,Hybrid Theory
Which album did American band LP release right before album Meteora?,American band LP,album Meteora,Hybrid Theory
Which album was propagated by Linkin Park preceded by Hybrid Theory?,Linkin Park,Hybrid Theory,Meteora
Which album did Linkin Park release immediately before the album Living Things?,Linkin Park,the album Living Things,A thousand Suns
Which album was launched by Euphoria preceded by dhoom?,Euphoria,dhoom,Phir Dhoom
Which album was released by Euphoria just before Mehfuz?,Euphoria,Mehfuz,Gully
What did Euphoria disclose right before the success of the album Mehfuz?,Euphoria,the success of the album Mehfuz,Gully
Which album was propagated by Euphoria preceded by ReDhoom?,Euphoria,ReDhoom,Item
Which album was launched by Euphoria preceded by ReDhoom?,Euphoria,ReDhoom,Item
Which album was released by Euphoria just before Sharnaagat?,Euphoria,Sharnaagat,Item
Which album was announced by Euphoria just previous to Sharnaagat?,Euphoria,Sharnaagat,Item
What did Euphoria disclose right before the success of the album Item?,Euphoria,the success of the album Item,ReDhoom
Which album was announced by Euphoria just previous to Item?,Euphoria,Item,ReDhoom
What did Euphoria disclose right before the success of the album Gully?,Euphoria,the success of the album Gully,Phir Dhoom
Which album was announced by Euphoria just previous to Gully?,Euphoria,Gully,Phir Dhoom
Which album did Indian band Euphoria release right before album ReDhoom?,Indian band Euphoria,album ReDhoom,Mehfuz
Which album was announced by Euphoria just previous to ReDhoom?,Euphoria,ReDhoom,Mehfuz
Which album was propagated by Euphoria preceded by ReDhoom?,Euphoria,ReDhoom,Item
Which album was launched by Euphoria band immediately prior to Sharnaagat?,Euphoria band,Sharnaagat,Item
What propagated Euphoria just before Sharnaagat?,Euphoria,Sharnaagat,Item
Which album was launched by Euphoria preceded by Gully?,Euphoria,Gully,Mehfuz
Which album was propagated by Euphoria preceded by ReDhoom?,Euphoria,ReDhoom,Item
Which album was launched by Euphoria preceded by Gully?,Euphoria,Gully,Mehfuz
Which album was launched by Euphoria band immediately prior to Item?,Euphoria band,Item,ReDhoom
Which album was announced by Euphoria just previous to Item?,Euphoria,Item,ReDhoom
Which album was released by Euphoria just before Item?,Euphoria,Item,ReDhoom
What propagated Euphoria just before Item?,Euphoria,Item,ReDhoom
Which album was released by Euphoria just before Mehfuz?,Euphoria,Mehfuz,Gully
What did Euphoria release immediately before the album Mehfuz?,Euphoria,the album Mehfuz,Gully
Which album did Indian band Euphoria release right before album Mehfuz?,Indian band Euphoria,album Mehfuz,Gully
Which album was released by Euphoria just before Gully?,Euphoria,Gully,Phir Dhoom
Which album did Indian band Euphoria release right before album Gully?,Indian band Euphoria,album Gully,Phir Dhoom
Which album was launched by Euphoria preceded by ReDhoom?,Euphoria,ReDhoom,Item
Which album did Indian band Euphoria release right before album ReDhoom?,Indian band Euphoria,album ReDhoom,Mehfuz
Which album was launched by Euphoria band immediately prior to ReDhoom?,Euphoria band,ReDhoom,Mehfuz
Which album was announced by Euphoria just previous to ReDhoom?,Euphoria,ReDhoom,Mehfuz
Which album was released by Euphoria just before ReDhoom?,Euphoria,ReDhoom,Mehfuz
Which album did Indian band Euphoria release right before album Item?,Indian band Euphoria,album Item,ReDhoom
Which album was announced by Euphoria just previous to Item?,Euphoria,Item,ReDhoom
Which album was launched by Euphoria preceded by dhoom?,Euphoria,dhoom,Phir Dhoom
Which album did Indian band Euphoria release right before album Gully?,Indian band Euphoria,album Gully,Phir Dhoom
What propagated Euphoria just before Gully?,Euphoria,Gully,Phir Dhoom
Which album was launched by Euphoria preceded by Item?,Euphoria,Item,Sharnaagat
What did Euphoria release immediately before the album Sharnaagat?,Euphoria,the album Sharnaagat,Item
Which album was launched by Euphoria preceded by ReDhoom?,Euphoria,ReDhoom,Item
Which country got affiliated to WTO Partnership in immediate advance of Saudi Arabia?,Saudi Arabia,WTO Partnership,Vietnam
Which country joined the WTO Partnership immediately before Yemen?,Yemen,joined the WTO Partnership,Tajikistan
Which country took WTO membership right before Yemen?,Yemen,WTO membership,Tajikistan
Which country took WTO membership preceded by Cambodia?,country,WTO membership,Saudi Arabia
Which country joined the WTO Partnership immediately before Montenegro?,Montenegro,joined the WTO Partnership,Cape Verde
Which country was inducted in WTO right before country Montenegro?,country Montenegro,inducted in WTO,Cape Verde
Which country joined the WTO Partnership immediately before Vietnam?,Vietnam,joined the WTO Partnership,Saudi Arabia
Which country joined the WTO Partnership immediately before Tonga?,Tonga,joined the WTO Partnership,Vietnam
Which country was inducted in WTO right before country Tonga?,country Tonga,inducted in WTO,Vietnam
Which country joined the WTO Partnership immediately before Ukraine?,Ukraine,joined the WTO Partnership,Tonga
Which country became a member of WTO just previous to Ukraine?,Ukraine,a member of WTO,Tonga
Which country got affiliated to WTO Partnership in immediate advance of Ukraine?,Ukraine,affiliated to WTO Partnership,Cape Verde
Which country signed the accession to the World Trade Organization prior to Tonga?,Tonga,the accession to the World Trade Organization,Vietnam
Which country became a member of WTO just previous to Tonga?,Tonga,became a member of WTO,Vietnam
Which country got affiliated to WTO Partnership in immediate advance of Saudi Arabia?,Saudi Arabia,affiliated to WTO Partnership,Vietnam
Which country took WTO membership preceded by Cape Verde?,country,Cape Verde,Montenegro
Which country took WTO membership preceded by Saudi Arabia?,country,Saudi Arabia,Vietnam
Which country was inducted in WTO right before country Vanuatu?,country Vanuatu,inducted in WTO,Russia
Which country got affiliated to WTO Partnership in immediate advance of Seychelles?,Seychelles,WTO Partnership,Kazakhstan
Which country took WTO membership right before Cape Verde?,Cape Verde,WTO membership,Ukraine
Which country became a member of WTO just previous to Cape Verde?,Cape Verde,became a member of WTO,Ukraine
Which country joined the WTO Partnership just before Montenegro?,Montenegro,joined the WTO Partnership,Cape Verde
Which country was inducted in WTO right before country Montenegro?,country Montenegro,inducted in WTO,Cape Verde
Which country became a member of WTO just previous to Montenegro?,Montenegro,became a member of WTO,Cape Verde
Which country got affiliated to WTO Partnership in immediate advance of Cambodia?,Cambodia,WTO Partnership,Saudi Arabia
Which country took WTO membership right before Samoa?,Samoa,WTO membership,Montenegro
Which country got affiliated to WTO Partnership in immediate advance of Saudi Arabia?,Saudi Arabia,WTO Partnership,Vietnam
Which country joined the WTO Partnership immediately before Cambodia?,Cambodia,joined the WTO Partnership,Nepal
Which country took WTO membership right before Cambodia?,Cambodia,WTO membership,Nepal
Which country joined the WTO Partnership just before Vanuatu?,Vanuatu,joined the WTO Partnership,Russia
Which country signed the accession to the World Trade Organization prior to Vanuatu?,country,Vanuatu,Russia
Which country joined the WTO Partnership immediately before Montenegro?,Montenegro,joined the WTO Partnership,Cape Verde
Which country took WTO membership right before Montenegro?,Montenegro,WTO membership,Cape Verde
Which country took WTO membership right before Cape Verde?,Cape Verde,WTO membership,Ukraine
Which country joined the WTO Partnership just before Ukraine?,Ukraine,joined the WTO Partnership,Tonga
Which country took WTO membership right before Ukraine?,Ukraine,WTO membership,Tonga
Which country signed the accession to the World Trade Organization prior to Vanuatu?,country,Vanuatu,Russia
Which country joined the WTO Partnership just before Tajikistan?,Tajikistan,joined the WTO Partnership,Laos
Which country became a member of WTO just previous to Tajikistan?,Tajikistan,became a member of WTO,Laos
Who signed NPT preceded by Montenegro?,Montenegro,signed NPT,Timor-Leste
Which country signed the Nuclear Non-Proliferation Treaty prior to Djibouti?,Djibouti,signed the Nuclear Non-Proliferation Treaty,Oman
Which country signed the Nuclear Non-Proliferation Treaty immediately before country Djibouti?,country Djibouti,signed the Nuclear Non-Proliferation Treaty,Oman
Who signed NPT preceded by Montenegro?,Montenegro,signed NPT,Timor-Leste
Which country was the NPT agreed to by in immediate advance of country Montenegro?,country Montenegro,the NPT agreed to by,Timor-Leste
Who signed NPT just before Montenegro?,Montenegro,signed NPT,Palestine
Which country signed the Nuclear Non-Proliferation Treaty prior to Montenegro?,Montenegro,signed the Nuclear Non-Proliferation Treaty,Palestine
Who signed NPT immediately before Brazil?,Brazil,signed NPT,Cuba
Who authorized NPT immediately previous to county Brazil?,NPT,county Brazil,Cuba
Who signed NPT preceded by Oman?,Who,Oman,Djibouti
Which country was NPT signed by right before Cuba?,NPT,Cuba,Timor-Leste
Which country was NPT signed by right before Brazil?,Brazil,NPT,Cuba
Who signed NPT immediately before Oman?,Oman,signed NPT,Brazil
Which country signed the Nuclear Non-Proliferation Treaty prior to Oman?,Oman,signed the Nuclear Non-Proliferation Treaty,Brazil
Which country signed the Nuclear Non-Proliferation Treaty immediately before country Oman?,country Oman,signed the Nuclear Non-Proliferation Treaty,Brazil
Which country was NPT signed by right before Cuba?,NPT,Cuba,Timor-Leste
Which country was the NPT agreed to by in immediate advance of country Brazil?,country,country Brazil,Oman
Who signed NPT immediately before Timor-Leste?,Timor-Leste,signed NPT,Montenegro
Who signed NPT preceded by Cuba?,Cuba,signed NPT,Brazil
Who signed NPT preceded by Montenegro?,Montenegro,signed NPT,Timor-Leste
Who signed NPT preceded by Montenegro?,Montenegro,signed NPT,Timor-Leste
Which country was the NPT agreed to by in immediate advance of country Montenegro?,country Montenegro,the NPT agreed to by,Timor-Leste
Which country was NPT signed by right before Timor-Leste?,NPT,Timor-Leste,Montenegro
Which country signed the Nuclear Non-Proliferation Treaty prior to Montenegro?,Montenegro,signed the Nuclear Non-Proliferation Treaty,Palestine
Who authorized NPT immediately previous to county Timor-Leste?,NPT,county Timor-Leste,Montenegro
Which country signed the Nuclear Non-Proliferation Treaty prior to Timor-Leste?,Timor-Leste,signed the Nuclear Non-Proliferation Treaty,Montenegro
Which country was NPT signed by right before Timor-Leste?,NPT,Timor-Leste,Montenegro
Which country signed the Nuclear Non-Proliferation Treaty prior to Cuba?,Cuba,signed the Nuclear Non-Proliferation Treaty,Timor-Leste
Which country signed the Nuclear Non-Proliferation Treaty immediately before country Cuba?,country Cuba,signed the Nuclear Non-Proliferation Treaty,Timor-Leste
Which country was the NPT agreed to by in immediate advance of country Palestine?,country,country Palestine,Montenegro
Which country signed the Nuclear Non-Proliferation Treaty immediately before country Djibouti?,country Djibouti,signed the Nuclear Non-Proliferation Treaty,Oman
Which country was NPT signed by right before Djibouti?,Djibouti,NPT,Oman
Which country signed the Nuclear Non-Proliferation Treaty immediately before country Djibouti?,country Djibouti,signed the Nuclear Non-Proliferation Treaty,Oman
Who signed NPT immediately before Timor-Leste?,Timor-Leste,signed NPT,Montenegro
Which country signed the Nuclear Non-Proliferation Treaty immediately before country Timor-Leste?,country Timor-Leste,signed the Nuclear Non-Proliferation Treaty,Montenegro
Who signed NPT just before Montenegro?,Montenegro,signed NPT,Palestine
Who authorized NPT immediately previous to county Montenegro?,county Montenegro,authorized NPT,Palestine
Which country was the NPT agreed to by in immediate advance of country Montenegro?,country Montenegro,the NPT agreed to by,Timor-Leste
Which country was NPT signed by right before Brazil?,Brazil,NPT,Cuba
Which country signed the Nuclear Non-Proliferation Treaty immediately before country Brazil?,country Brazil,signed the Nuclear Non-Proliferation Treaty,Cuba
Who signed NPT just before Cuba?,Cuba,signed NPT,Timor-Leste
Who authorized NPT immediately previous to county Cuba?,county Cuba,authorized NPT,Timor-Leste
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare immediately before Liechtenstein?",Liechtenstein,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Cape Verde
Who authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating immediately previous to county Liechtenstein?,county Liechtenstein,the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Cape Verde
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Angola?",Angola,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Swaziland
Who signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating just before country Angola?,country Angola,signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Swaziland
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Liechtenstein?",Liechtenstein,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Cape Verde
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare immediately before Albania?",Albania,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Nicaragua
Who authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating immediately previous to county Albania?,county Albania,authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Nicaragua
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare immediately before Cape Verde?",Cape Verde,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Algeria
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Cape Verde?",Cape Verde,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Algeria
"Which country agreed to the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods in immediate advance of the country St.Vincent & the Grenadines?",country,the country St.Vincent & the Grenadines,Slovakia
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Albania?",Albania,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Nicaragua
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Albania?",Albania,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Nicaragua
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare prior to Albania?",Albania,"the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Nicaragua
Who signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating just before country Albania?,country Albania,signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Nicaragua
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare preceded by St.Vincent & the Grenadines?",country,St.Vincent & the Grenadines,Slovakia
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare preceded by Slovakia?",country,Slovakia,Algeria
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Liechtenstein?",Liechtenstein,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Cape Verde
Who authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating immediately previous to county Liechtenstein?,county Liechtenstein,the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Cape Verde
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Nicaragua?",country,Nicaragua,Angola
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Nicaragua?",Nicaragua,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Angola
Who signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating just before country Cape Verde?,country Cape Verde,signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Algeria
Who signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating just before country Liechtenstein?,country Liechtenstein,signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Cape Verde
Who authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating immediately previous to county Liechtenstein?,county Liechtenstein,the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Cape Verde
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Nicaragua?",country,Nicaragua,Angola
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare immediately before Nicaragua?",country,Nicaragua,Angola
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare immediately before Cape Verde?",country,Cape Verde,Algeria
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare preceded by Nicaragua?",country,Nicaragua,Albania
"Which country agreed to the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods in immediate advance of the country Nicaragua?",the country Nicaragua,"agreed to the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods",Albania
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare immediately before Liechtenstein?",country,Liechtenstein,Cape Verde
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Liechtenstein?",Liechtenstein,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Cape Verde
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Liechtenstein?",Liechtenstein,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Cape Verde
Who signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating just before country Liechtenstein?,country Liechtenstein,the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Cape Verde
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare preceded by St.Vincent & the Grenadines?",country,St.Vincent & the Grenadines,Slovakia
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Algeria?",Algeria,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Slovakia
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Algeria?",Algeria,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Slovakia
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Liechtenstein?",Liechtenstein,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Cape Verde
Who authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating immediately previous to county Algeria?,Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,county Algeria,Slovakia
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare preceded by Swaziland?",country,Swaziland,Angola
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare prior to Slovakia?",Slovakia,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",St.Vincent & the Grenadines
Who authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating immediately previous to county Slovakia?,county Slovakia,authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,St.Vincent & the Grenadines
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare preceded by Liechtenstein?",country,Liechtenstein,Swaziland
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Nicaragua?",Nicaragua,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Angola
Who authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating immediately previous to county Nicaragua?,county Nicaragua,authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Angola
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Nicaragua?",Nicaragua,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Angola
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare prior to Swaziland?",Swaziland,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",Liechtenstein
"Which country agreed to the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods in immediate advance of the country Swaziland?",the country Swaziland,"agreed to the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods",Angola
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare immediately before Slovakia?",Slovakia,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",St.Vincent & the Grenadines
"Which country signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare right before Slovakia?",Slovakia,"signed the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating, Poisonous or Other Gases, and of Bacteriological Methods of Warfare",St.Vincent & the Grenadines
Who authorized the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating immediately previous to county Swaziland?,county Swaziland,the Geneva Protocol for the Prohibition of the Use in War of Asphyxiating,Liechtenstein
Which movie was released to the public by Rajshee Production in immediate advance of Aarti?,Rajshee Production,Aarti,Dosti
Which movie's promotion by Rajshree production was immediately before Jeevan Mrityu?,Rajshree production,Jeevan Mrityu,Taqdeer
Which movie did Rajshree Production launch preceded by movie Taqdeer?,Rajshree Production,movie Taqdeer,Jeevan Mrityu
Which movie was released by rajshree production immediately before Uphaar?,Uphaar,released by rajshree production,Jeevan Mrityu
